epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.281,1.88301,2.95344,1.89127,0.38948,0.35198,0.24264,0.11147,2.135,2.97668,2.33715,0.000663121,0.000663121,0.000663121
2,351.091,1.88162,2.13723,1.98226,0.56194,0.45221,0.468,0.24633,1.84521,2.21381,2.06516,0.0012859,0.0012859,0.0012859
3,509.593,1.84669,1.96188,1.91953,0.68132,0.53324,0.61854,0.32947,1.65406,2.35512,1.83573,0.00186469,0.00186469,0.00186469
4,669.01,1.76427,1.8726,1.86085,0.69353,0.54861,0.59847,0.31689,1.67384,1.70472,1.87735,0.001802,0.001802,0.001802
5,797.918,1.77198,1.8289,1.86831,0.70062,0.5346,0.62551,0.3426,1.65797,1.69081,1.90811,0.001736,0.001736,0.001736
6,919.42,1.72492,1.68928,1.83221,0.79329,0.63869,0.75189,0.41515,1.61884,1.46304,1.8374,0.00167,0.00167,0.00167
7,1043.95,1.65892,1.59372,1.7748,0.7393,0.55711,0.65373,0.37018,1.65342,1.63636,1.84972,0.001604,0.001604,0.001604
8,1169.12,1.63975,1.62657,1.74346,0.7507,0.65734,0.73895,0.41915,1.51646,1.45491,1.75142,0.001538,0.001538,0.001538
9,1290.78,1.62394,1.54521,1.72693,0.74298,0.58275,0.67142,0.37273,1.58041,1.58832,1.76807,0.001472,0.001472,0.001472
10,1419.57,1.57956,1.48026,1.68227,0.77297,0.68998,0.78532,0.44948,1.49893,1.36718,1.70138,0.001406,0.001406,0.001406
11,1540.59,1.57832,1.40796,1.69545,0.76807,0.7366,0.81508,0.47136,1.48618,1.19728,1.70014,0.00134,0.00134,0.00134
12,1654.08,1.55213,1.3336,1.6562,0.75561,0.70629,0.79472,0.46386,1.48747,1.22392,1.6954,0.001274,0.001274,0.001274
13,1764.23,1.51621,1.28923,1.65933,0.73483,0.662,0.74054,0.39072,1.65033,1.39318,1.82917,0.001208,0.001208,0.001208
14,1874.84,1.50795,1.31299,1.62388,0.80578,0.7253,0.80948,0.47245,1.4847,1.14766,1.68643,0.001142,0.001142,0.001142
15,1980.98,1.48468,1.24143,1.61638,0.79032,0.67832,0.80571,0.46442,1.50979,1.16308,1.72683,0.001076,0.001076,0.001076
16,2090.35,1.51716,1.22849,1.64684,0.82615,0.72727,0.83415,0.49562,1.4467,1.0917,1.66742,0.00101,0.00101,0.00101
17,2198.43,1.46043,1.16381,1.59084,0.8043,0.73765,0.84619,0.49142,1.45626,1.07586,1.6787,0.000944,0.000944,0.000944
18,2301.48,1.47026,1.18741,1.60519,0.86934,0.71341,0.85071,0.50564,1.43714,1.06503,1.66166,0.000878,0.000878,0.000878
19,2408.09,1.43203,1.12283,1.56036,0.83268,0.75405,0.85704,0.49938,1.47113,1.01975,1.66545,0.000812,0.000812,0.000812
20,2510.88,1.43397,1.09983,1.58749,0.83835,0.7616,0.85315,0.50259,1.46067,1.02135,1.66123,0.000746,0.000746,0.000746
21,2622.32,1.40521,0.97018,1.62363,0.83907,0.79,0.87717,0.51975,1.44292,0.98373,1.65708,0.00068,0.00068,0.00068
22,2729.51,1.33432,0.90043,1.57447,0.88866,0.78138,0.88885,0.53431,1.42114,0.93489,1.66667,0.000614,0.000614,0.000614
23,2837.73,1.32267,0.8566,1.57389,0.81708,0.79135,0.87546,0.53254,1.43012,0.92991,1.66427,0.000548,0.000548,0.000548
24,2946.46,1.32505,0.8383,1.57896,0.84582,0.76729,0.88214,0.53021,1.43426,0.90642,1.67204,0.000482,0.000482,0.000482
25,3052.24,1.31141,0.81973,1.56423,0.84777,0.80186,0.88393,0.52381,1.44596,0.90871,1.68677,0.000416,0.000416,0.000416
26,3153.07,1.26308,0.76976,1.53459,0.87283,0.79953,0.88992,0.53721,1.42611,0.87418,1.66935,0.00035,0.00035,0.00035
27,3262.74,1.23992,0.75558,1.52067,0.84273,0.83689,0.89831,0.53732,1.44776,0.86852,1.69411,0.000284,0.000284,0.000284
28,3366.91,1.2218,0.70203,1.49624,0.85804,0.80307,0.89632,0.54524,1.43488,0.83448,1.67943,0.000218,0.000218,0.000218
29,3472.05,1.20942,0.69179,1.47519,0.87862,0.80993,0.90522,0.54947,1.42493,0.83905,1.66722,0.000152,0.000152,0.000152
30,3576.98,1.17777,0.67627,1.47064,0.89,0.81818,0.89601,0.54937,1.42023,0.8227,1.6656,8.6e-05,8.6e-05,8.6e-05
